dialect,version,version_min,version_max,version_status,documents,chunks
duckdb,0.10.0,0.10.0,0.10.0,exact,1,28
duckdb,0.6.0,0.6.0,0.6.0,exact,1,23
duckdb,0.7.0,0.7.0,0.7.0,exact,1,16
duckdb,0.8.0,0.8.0,0.8.0,exact,1,13
duckdb,0.9.0,0.9.0,0.9.0,exact,1,19
duckdb,1.0.0,1.0.0,1.0.0,exact,1,12
duckdb,1.1.0,1.1.0,1.1.0,exact,1,28
duckdb,1.2.0,1.2.0,1.2.0,exact,1,20
duckdb,1.3.0,1.3.0,1.3.0,exact,1,26
duckdb,1.4.0,1.4.0,1.4.0,exact,1,18
duckdb,1.4.1,1.4.1,1.4.1,exact,1,7
duckdb,1.4.2,1.4.2,1.4.2,exact,1,13
duckdb,1.4.3,1.4.3,1.4.3,exact,1,10
duckdb,1.4.4,1.4.4,1.4.4,exact,1,5
duckdb,1.4.5,1.4.5,1.4.5,exact,1,5
duckdb,1.5,1.5.0,1.5.x,current,363,2076
duckdb,1.5.0,1.5.0,1.5.0,exact,1,40
duckdb,1.5.1,1.5.1,1.5.1,exact,1,7
duckdb,1.5.2,1.5.2,1.5.2,exact,1,9
duckdb,1.5.3,1.5.3,1.5.3,exact,1,12
duckdb,1.5.4,1.5.4,1.5.4,exact,1,7
duckdb,1.5.5,1.5.5,1.5.5,exact,1,6
mariadb,,,,unknown,62,575
mariadb,10.0,10.0,10.0,exact,1,1
mariadb,10.0.0,10.0.0,10.0.0,exact,1,1
mariadb,10.0.1,10.0.1,10.0.1,exact,1,1
mariadb,10.0.10,10.0.10,10.0.10,exact,1,1
mariadb,10.0.11,10.0.11,10.0.11,exact,1,1
mariadb,10.0.12,10.0.12,10.0.12,exact,1,1
mariadb,10.0.13,10.0.13,10.0.13,exact,1,1
mariadb,10.0.14,10.0.14,10.0.14,exact,1,1
mariadb,10.0.15,10.0.15,10.0.15,exact,1,1
mariadb,10.0.16,10.0.16,10.0.16,exact,1,1
mariadb,10.0.17,10.0.17,10.0.17,exact,1,1
mariadb,10.0.18,10.0.18,10.0.18,exact,1,1
mariadb,10.0.19,10.0.19,10.0.19,exact,1,1
mariadb,10.0.2,10.0.2,10.0.2,exact,1,1
mariadb,10.0.20,10.0.20,10.0.20,exact,1,1
mariadb,10.0.21,10.0.21,10.0.21,exact,1,1
mariadb,10.0.22,10.0.22,10.0.22,exact,1,1
mariadb,10.0.23,10.0.23,10.0.23,exact,1,1
mariadb,10.0.24,10.0.24,10.0.24,exact,1,1
mariadb,10.0.25,10.0.25,10.0.25,exact,1,1
mariadb,10.0.26,10.0.26,10.0.26,exact,1,1
mariadb,10.0.27,10.0.27,10.0.27,exact,1,1
mariadb,10.0.28,10.0.28,10.0.28,exact,1,1
mariadb,10.0.29,10.0.29,10.0.29,exact,1,1
mariadb,10.0.3,10.0.3,10.0.3,exact,1,1
mariadb,10.0.30,10.0.30,10.0.30,exact,1,1
mariadb,10.0.31,10.0.31,10.0.31,exact,1,1
mariadb,10.0.32,10.0.32,10.0.32,exact,1,1
mariadb,10.0.33,10.0.33,10.0.33,exact,1,1
mariadb,10.0.34,10.0.34,10.0.34,exact,1,1
mariadb,10.0.35,10.0.35,10.0.35,exact,1,1
mariadb,10.0.36,10.0.36,10.0.36,exact,1,1
mariadb,10.0.37,10.0.37,10.0.37,exact,1,1
mariadb,10.0.38,10.0.38,10.0.38,exact,1,1
mariadb,10.0.4,10.0.4,10.0.4,exact,1,1
mariadb,10.0.5,10.0.5,10.0.5,exact,1,1
mariadb,10.0.6,10.0.6,10.0.6,exact,1,1
mariadb,10.0.7,10.0.7,10.0.7,exact,1,1
mariadb,10.0.8,10.0.8,10.0.8,exact,1,1
mariadb,10.0.9,10.0.9,10.0.9,exact,1,1
mariadb,10.1,10.1,10.1,exact,1,1
mariadb,10.1.0,10.1.0,10.1.0,exact,1,1
mariadb,10.1.1,10.1.1,10.1.1,exact,1,1
mariadb,10.1.10,10.1.10,10.1.10,exact,1,1
mariadb,10.1.11,10.1.11,10.1.11,exact,1,1
mariadb,10.1.12,10.1.12,10.1.12,exact,1,1
mariadb,10.1.13,10.1.13,10.1.13,exact,1,1
mariadb,10.1.14,10.1.14,10.1.14,exact,1,1
mariadb,10.1.15,10.1.15,10.1.15,exact,1,1
mariadb,10.1.16,10.1.16,10.1.16,exact,1,1
mariadb,10.1.17,10.1.17,10.1.17,exact,1,1
mariadb,10.1.18,10.1.18,10.1.18,exact,1,1
mariadb,10.1.19,10.1.19,10.1.19,exact,1,1
mariadb,10.1.2,10.1.2,10.1.2,exact,1,1
mariadb,10.1.20,10.1.20,10.1.20,exact,1,1
mariadb,10.1.21,10.1.21,10.1.21,exact,1,1
mariadb,10.1.22,10.1.22,10.1.22,exact,1,1
mariadb,10.1.23,10.1.23,10.1.23,exact,1,1
mariadb,10.1.24,10.1.24,10.1.24,exact,1,1
mariadb,10.1.25,10.1.25,10.1.25,exact,1,1
