HitRate@10_rel2,HitRate@5_rel1plus,HitRate@5_rel2,Judged@10,Judged@20,Judged@30,Judged@5,MRR@10_rel1plus,MRR@10_rel2,Precision@5_rel1plus,Precision@5_rel2,graded_nDCG@10,pooled_Recall@10_rel1plus,pooled_Recall@10_rel2,pooled_Recall@20_rel1plus,pooled_Recall@20_rel2,pooled_Recall@5_rel1plus,pooled_Recall@5_rel2,query_id,retriever
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0001,bm25
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0001,dense
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0001,hybrid
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0002,bm25
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0002,dense
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0002,hybrid
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.35098520806348704,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,DEV0003,bm25
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0003,dense
1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1674625028592927,0.3333333333333333,0.5,0.3333333333333333,0.5,0.0,0.0,DEV0003,hybrid
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2,0.2,0.29379325826637226,0.2222222222222222,0.5,0.2222222222222222,0.5,0.1111111111111111,0.5,DEV0004,bm25
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEV0004,dense
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2,0.15440443847952295,0.1111111111111111,0.5,0.2222222222222222,0.5,0.1111111111111111,0.5,DEV0004,hybrid
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.4,0.2,0.2936459554147438,0.2,0.5,0.2,0.5,0.2,0.5,DEV0005,bm25
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.0,0.12811612289210494,0.1,0.0,0.1,0.0,0.1,0.0,DEV0005,dense
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.2,0.0,0.2562322457842099,0.2,0.5,0.2,0.5,0.1,0.0,DEV0005,hybrid
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.2,0.0,0.06581686446496139,0.05555555555555555,0.0,0.16666666666666666,1.0,0.05555555555555555,0.0,DEV0006,bm25
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.046004014040457224,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,DEV0006,dense
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.2,0.0,0.12025316873053646,0.1111111111111111,0.0,0.16666666666666666,0.0,0.05555555555555555,0.0,DEV0006,hybrid
