HitRate@10_rel2,HitRate@5_rel1plus,HitRate@5_rel2,Judged@10,Judged@20,Judged@30,Judged@5,MRR@10_rel1plus,MRR@10_rel2,Precision@5_rel1plus,Precision@5_rel2,confidence_intervals,estimate_warning,graded_nDCG@10,pooled_Recall@10_rel1plus,pooled_Recall@10_rel2,pooled_Recall@20_rel1plus,pooled_Recall@20_rel2,pooled_Recall@5_rel1plus,pooled_Recall@5_rel2,query_count,retriever,slice_name,slice_value,source_field
0.62,0.7,0.6,1.0,1.0,1.0,1.0,0.5386666666666666,0.44583333333333336,0.20400000000000001,0.132,"{'graded_nDCG@10': {'mean': 0.2862185635046772, 'ci95_lower': 0.22233292728470888, 'ci95_upper': 0.3538805049989738, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'MRR@10_rel2': {'mean': 0.44583333333333336, 'ci95_lower': 0.33333333333333337, 'ci95_upper': 0.5641666666666666, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'pooled_Recall@10_rel2': {'mean': 0.4846666666666667, 'ci95_lower': 0.36666666666666664, 'ci95_upper': 0.6, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'HitRate@5_rel2': {'mean': 0.6, 'ci95_lower': 0.46, 'ci95_upper': 0.74, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}}",,0.2862185635046772,0.14488697115615273,0.4846666666666667,0.17743071187124893,0.5513333333333333,0.11078696154655233,0.4406666666666667,50,bm25,dialect,postgresql,dialect
0.58,0.7,0.54,1.0,1.0,1.0,1.0,0.57,0.45399999999999996,0.332,0.2,"{'graded_nDCG@10': {'mean': 0.34281086292604374, 'ci95_lower': 0.26313926725889425, 'ci95_upper': 0.42360400458385516, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'MRR@10_rel2': {'mean': 0.45399999999999996, 'ci95_lower': 0.32799999999999996, 'ci95_upper': 0.5806666666666667, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'pooled_Recall@10_rel2': {'mean': 0.4482380952380952, 'ci95_lower': 0.3273809523809524, 'ci95_upper': 0.5710059523809523, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'HitRate@5_rel2': {'mean': 0.54, 'ci95_lower': 0.4, 'ci95_upper': 0.68, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}}",,0.34281086292604374,0.16090962714767953,0.4482380952380952,0.2049463728207816,0.5108095238095238,0.12198481479024469,0.4049047619047619,50,bm25,dialect,mysql,dialect
0.44,0.42,0.36,1.0,1.0,1.0,1.0,0.35854761904761906,0.2693809523809524,0.156,0.09600000000000002,"{'graded_nDCG@10': {'mean': 0.19827943412940013, 'ci95_lower': 0.13282848756225613, 'ci95_upper': 0.26905242923875566, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'MRR@10_rel2': {'mean': 0.2693809523809524, 'ci95_lower': 0.16699761904761906, 'ci95_upper': 0.378525, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'pooled_Recall@10_rel2': {'mean': 0.3183333333333333, 'ci95_lower': 0.21333333333333332, 'ci95_upper': 0.43, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'HitRate@5_rel2': {'mean': 0.36, 'ci95_lower': 0.24, 'ci95_upper': 0.48, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}}",,0.19827943412940013,0.1157772089974607,0.3183333333333333,0.15838020509874057,0.35833333333333334,0.08370907423367377,0.255,50,bm25,dialect,sqlite,dialect
0.66,0.7,0.54,1.0,1.0,1.0,1.0,0.5761031746031746,0.4382698412698413,0.228,0.132,"{'graded_nDCG@10': {'mean': 0.2924677254592963, 'ci95_lower': 0.2304573337768849, 'ci95_upper': 0.3552925548140117, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'MRR@10_rel2': {'mean': 0.4382698412698413, 'ci95_lower': 0.3182662698412699, 'ci95_upper': 0.5595238095238095, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'pooled_Recall@10_rel2': {'mean': 0.475, 'ci95_lower': 0.36166666666666664, 'ci95_upper': 0.59, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'HitRate@5_rel2': {'mean': 0.54, 'ci95_lower': 0.4, 'ci95_upper': 0.68, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}}",,0.2924677254592963,0.1671882503680678,0.475,0.2090659512112859,0.5433333333333333,0.12572438384243656,0.37,50,bm25,dialect,mariadb,dialect
0.48,0.48,0.36,1.0,1.0,1.0,1.0,0.39046825396825396,0.29530158730158734,0.15600000000000003,0.09200000000000001,"{'graded_nDCG@10': {'mean': 0.2045606613253712, 'ci95_lower': 0.14547496910212768, 'ci95_upper': 0.26782448119065666, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'MRR@10_rel2': {'mean': 0.29530158730158734, 'ci95_lower': 0.1876343253968254, 'ci95_upper': 0.4134232142857141, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'pooled_Recall@10_rel2': {'mean': 0.38966666666666666, 'ci95_lower': 0.271, 'ci95_upper': 0.515, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}, 'HitRate@5_rel2': {'mean': 0.36, 'ci95_lower': 0.24, 'ci95_upper': 0.5, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 50}}",,0.2045606613253712,0.08705656916183231,0.38966666666666666,0.11656415222204697,0.4663333333333333,0.06571760549392129,0.32,50,bm25,dialect,duckdb,dialect
0.44,0.44,0.4,1.0,1.0,1.0,1.0,0.3584444444444444,0.3244444444444444,0.15200000000000002,0.11200000000000002,"{'graded_nDCG@10': {'mean': 0.2052659579537233, 'ci95_lower': 0.11361454924541663, 'ci95_upper': 0.30505087731803093, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.3244444444444444, 'ci95_lower': 0.16444444444444442, 'ci95_upper': 0.5, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.31133333333333335, 'ci95_lower': 0.16, 'ci95_upper': 0.474, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.4, 'ci95_lower': 0.2, 'ci95_upper': 0.6, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.2052659579537233,0.1175024975024975,0.31133333333333335,0.1561022311022311,0.37133333333333335,0.09177433677433677,0.2633333333333333,25,bm25,error_category,aggregation_or_grouping,error_category
0.6,0.6,0.48,1.0,1.0,1.0,1.0,0.3923809523809524,0.318047619047619,0.23200000000000004,0.15200000000000002,"{'graded_nDCG@10': {'mean': 0.26632716766595477, 'ci95_lower': 0.17181630715267943, 'ci95_upper': 0.36768763027771323, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.318047619047619, 'ci95_lower': 0.17804285714285717, 'ci95_upper': 0.46976190476190477, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.46399999999999997, 'ci95_lower': 0.3, 'ci95_upper': 0.6373333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.48, 'ci95_lower': 0.28, 'ci95_upper': 0.68, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.26632716766595477,0.19484385549091432,0.46399999999999997,0.23909911656970478,0.532,0.13657401422107304,0.344,25,bm25,error_category,date_time_semantics,error_category
0.48,0.56,0.36,1.0,1.0,1.0,1.0,0.48,0.33,0.17600000000000002,0.08800000000000001,"{'graded_nDCG@10': {'mean': 0.2269790225413042, 'ci95_lower': 0.14058193540551123, 'ci95_upper': 0.3236294037690213, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.33, 'ci95_lower': 0.16666666666666669, 'ci95_upper': 0.5066666666666666, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.32, 'ci95_lower': 0.17, 'ci95_upper': 0.48333333333333334, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.36, 'ci95_lower': 0.16, 'ci95_upper': 0.56, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.2269790225413042,0.12059969562601142,0.32,0.17067867220498797,0.43666666666666665,0.09871472971472972,0.25,25,bm25,error_category,dialect_incompatibility,error_category
0.44,0.52,0.4,1.0,1.0,1.0,1.0,0.42566666666666664,0.2986666666666667,0.17600000000000002,0.08800000000000001,"{'graded_nDCG@10': {'mean': 0.21223567712830887, 'ci95_lower': 0.12467347358791167, 'ci95_upper': 0.30983625404835735, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.2986666666666667, 'ci95_lower': 0.14533333333333334, 'ci95_upper': 0.4746666666666667, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.35333333333333333, 'ci95_lower': 0.18666666666666668, 'ci95_upper': 0.5266666666666666, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.4, 'ci95_lower': 0.2, 'ci95_upper': 0.6, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.21223567712830887,0.1068131014675637,0.35333333333333333,0.13096052536327135,0.36666666666666664,0.07730226905055279,0.3133333333333333,25,bm25,error_category,function_or_operator_incompatibility,error_category
0.6,0.6,0.4,1.0,1.0,1.0,1.0,0.48765079365079367,0.26365079365079364,0.192,0.08800000000000001,"{'graded_nDCG@10': {'mean': 0.2265323222608609, 'ci95_lower': 0.15837108648135578, 'ci95_upper': 0.2964239927435037, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.26365079365079364, 'ci95_lower': 0.14476190476190476, 'ci95_upper': 0.4017460317460318, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.44666666666666666, 'ci95_lower': 0.2866666666666667, 'ci95_upper': 0.6066666666666667, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.4, 'ci95_lower': 0.2, 'ci95_upper': 0.6, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.2265323222608609,0.14532541022196194,0.44666666666666666,0.1803790921721956,0.48,0.09331382027933753,0.32666666666666666,25,bm25,error_category,join_or_query_logic,error_category
0.24,0.28,0.24,1.0,1.0,1.0,1.0,0.20733333333333334,0.13666666666666666,0.08800000000000001,0.04800000000000001,"{'graded_nDCG@10': {'mean': 0.10514108762828454, 'ci95_lower': 0.042049352197124475, 'ci95_upper': 0.17890759244943752, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.13666666666666666, 'ci95_lower': 0.04, 'ci95_upper': 0.2633333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.2, 'ci95_lower': 0.06, 'ci95_upper': 0.36, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.24, 'ci95_lower': 0.08, 'ci95_upper': 0.4, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.10514108762828454,0.048246889952153114,0.2,0.06258059133848608,0.26,0.027184051036682616,0.2,25,bm25,error_category,null_semantics,error_category
0.72,0.68,0.6,1.0,1.0,1.0,1.0,0.6290476190476191,0.599047619047619,0.22400000000000003,0.15200000000000002,"{'graded_nDCG@10': {'mean': 0.3251067801484262, 'ci95_lower': 0.2338461475915891, 'ci95_upper': 0.41598621406899433, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.599047619047619, 'ci95_lower': 0.41711904761904783, 'ci95_upper': 0.7733333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.5393333333333333, 'ci95_lower': 0.37665000000000015, 'ci95_upper': 0.7033333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.6, 'ci95_lower': 0.4, 'ci95_upper': 0.8, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.3251067801484262,0.09127855259761676,0.5393333333333333,0.13609995845532025,0.5993333333333333,0.07676267958174372,0.4633333333333334,25,bm25,error_category,schema_or_identifier_issue,error_category
0.56,0.6,0.48,1.0,1.0,1.0,1.0,0.39966666666666667,0.33404761904761904,0.21600000000000003,0.128,"{'graded_nDCG@10': {'mean': 0.22385341145903037, 'ci95_lower': 0.14158158528295356, 'ci95_upper': 0.3149859683031744, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.33404761904761904, 'ci95_lower': 0.19238095238095237, 'ci95_upper': 0.49, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.38333333333333336, 'ci95_lower': 0.2333333333333333, 'ci95_upper': 0.54, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.48, 'ci95_lower': 0.28, 'ci95_upper': 0.68, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.22385341145903037,0.1048982128982129,0.38333333333333336,0.1447960927960928,0.4066666666666666,0.08506515706515706,0.3133333333333333,25,bm25,error_category,syntax_error,error_category
0.64,0.76,0.6,1.0,1.0,1.0,1.0,0.6707142857142857,0.4676666666666667,0.35200000000000004,0.2,"{'graded_nDCG@10': {'mean': 0.37713738230427923, 'ci95_lower': 0.2620790583933859, 'ci95_upper': 0.49457498966126817, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'MRR@10_rel2': {'mean': 0.4676666666666667, 'ci95_lower': 0.29266666666666663, 'ci95_upper': 0.648, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'pooled_Recall@10_rel2': {'mean': 0.5066666666666666, 'ci95_lower': 0.34, 'ci95_upper': 0.6733333333333333, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}, 'HitRate@5_rel2': {'mean': 0.6, 'ci95_lower': 0.4, 'ci95_upper': 0.8, 'confidence_level': 0.95, 'bootstrap_samples': 10000, 'random_seed': 42, 'query_count': 25}}",small sample; estimates may be unstable,0.37713738230427923,0.19514335691977366,0.5066666666666666,0.2372398451072566,0.5933333333333334,0.14030705299247498,0.47,25,bm25,error_category,type_or_casting,error_category
