system_id,query_id,graded_nDCG@10,MRR@10_rel2,pooled_Recall@10_rel2,HitRate@5_rel2,Judged@5,Judged@10,Judged@20,Judged@30,Wrong-Dialect@5,Wrong-Version@5,Unknown-Version@5,Unresolved-Current@5
hybrid_rrf_frozen_control_v1,DEV0001,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0003,0.1674625028592927,0.1111111111111111,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0004,0.15440443847952295,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0005,0.2562322457842099,0.14285714285714285,0.5,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0006,0.12025316873053646,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0007,0.2743228840670568,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0008,0.3843483686763149,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0009,0.14493049477865402,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0010,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0011,0.5321036168710066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0012,0.5192991898050929,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0013,0.45846608015576257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0014,0.5039082691907902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0015,0.8262346571285599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0016,0.08868393614516776,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0017,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0018,0.10512364408381494,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0019,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0020,0.47432658739155437,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0021,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0022,0.5982294706672244,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0023,0.4568625914789285,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0024,0.15282202671858752,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0025,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0026,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0027,0.5044700941962198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0028,0.3026286548261086,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0029,0.1446299454867737,0.125,1.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0030,0.35027262011347177,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0031,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0032,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0033,0.11570038775608932,0.1111111111111111,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0034,0.2892598909735474,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0035,0.17735889013007314,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0036,0.2536587102341516,0.25,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0037,0.7149131547210789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0038,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0039,0.5548860438136117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0040,0.23412927288079569,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0041,0.7451107937367463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0042,0.2853726813520833,0.1111111111111111,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0043,0.7544558788831857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0044,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0045,0.3724572477009501,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0046,0.1369076512757472,0.16666666666666666,0.5,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0047,0.4462136051576679,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0048,0.042705374297368315,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0049,0.09848418277380512,0.1,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0050,0.6724810739694362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0051,0.4299842524348973,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0052,0.5238732232376831,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0053,0.7915920062449135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0054,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0
hybrid_rrf_frozen_control_v1,DEV0055,0.16552983252263884,0.25,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0
